cycle;state;incumbent
2018;Hawaii;Mazie Hirono
2018;Indiana;Joe Donnelly
2018;Maine;Angus King
2018;Maryland;Ben Cardin
2018;Massachusetts;Elizabeth Warren
2018;Michigan;Debbie Stabenow
2018;Minnesota;Amy Klobuchar
2018;Mississippi;Roger Wicker
2018;Missouri;Claire McCaskill
2018;Montana;Jon Tester
2018;Nebraska;Deb Fischer
2018;Nevada;Dean Heller
2018;New Jersey;Bob Menendez
2018;New Mexico;Martin Heinrich
2018;New York;Kirsten Gillibrand
2018;North Dakota;Heidi Heitkamp
2018;Ohio;Sherrod Brown
2018;Pennsylvania;Bob Casey Jr.
2018;Rhode Island;Sheldon Whitehouse
2018;Tennessee;Bob Corker
2018;Texas;Ted Cruz
2018;Utah;Orrin Hatch
2018;Vermont;Bernie Sanders
2018;Virginia;Tim Kaine
2018;Washington;Maria Cantwell
2018;West Virginia;Joe Manchin
2018;Wisconsin;Tammy Baldwin
2018;Wyoming;John Barrasso
2020;Alabama;Doug Jones
2020;Alaska;Dan Sullivan
2020;Arkansas;Tom Cotton
2020;Colorado;Cory Gardner
2020;Delaware;Chris Coons
2020;Georgia;David Perdue
2020;Idaho;Jim Risch
2020;Illinois;Dick Durbin
2020;Iowa;Joni Ernst
2020;Kansas;Pat Roberts
2020;Kentucky;Mitch McConnell
2020;Louisiana;Bill Cassidy
2020;Maine;Susan Collins
2020;Massachusetts;Ed Markey
2020;Michigan;Gary Peters
2020;Minnesota;Tina Smith
2020;Mississippi;Cindy Hyde-Smith
2020;Montana;Steve Daines
2020;Nebraska;Ben Sasse
2020;New Hampshire;Jeanne Shaheen
2020;New Jersey;Cory Booker
2020;New Mexico;Tom Udall
2020;North Carolina;Thom Tillis
2020;Oklahoma;Jim Inhofe
2020;Oregon;Jeff Merkley
2020;Rhode Island;Jack Reed
2020;South Carolina;Lindsey Graham
2020;South Dakota;Mike Rounds
2020;Tennessee;Lamar Alexander
2020;Texas;John Cornyn
2020;Virginia;Mark Warner
2020;West Virginia;Shelley Moore Capito
2020;Wyoming;Mike Enzi
1990;Alabama;Howell Heflin
1990;Alaska;Ted Stevens
1990;Arkansas;David Pryor
1990;Colorado;William L. Armstrong
1990;Delaware;Joe Biden
1990;Georgia;Sam Nunn
1990;Idaho;James A. McClure
1990;Illinois;Paul Simon
1990;Iowa;Tom Harkin
1990;Kansas;Nancy Kassebaum
1990;Kentucky;Mitch McConnell
1990;Louisiana;J. Bennett Johnston
1990;Maine;William Cohen
1990;Massachusetts;John Kerry
1990;Michigan;Carl Levin
1990;Minnesota;Rudy Boschwitz
1990;Mississippi;Thad Cochran
1990;Montana;Max Baucus
1990;Nebraska;J. James Exon
1990;New Hampshire;Gordon J. Humphrey
1990;New Jersey;Bill Bradley
1990;New Mexico;Pete Domenici
1990;North Carolina;Jesse Helms
1990;Oklahoma;David Boren
1990;Oregon;Mark Hatfield
1990;Rhode Island;Claiborne Pell
1990;South Carolina;Strom Thurmond
1990;South Dakota;Larry Pressler
1990;Tennessee;Al Gore
1990;Texas;Phil Gramm
1990;Virginia;John Warner
1990;West Virginia;Jay Rockefeller
1990;Wyoming;Alan Simpson
1992;Alabama;Richard Shelby
1992;Alaska;Frank Murkowski
1992;Arizona;John McCain
1992;Arkansas;Dale Bumpers
1992;California;Alan Cranston
1992;Colorado;Tim Wirth
1992;Connecticut;Chris Dodd
1992;Florida;Bob Graham
1992;Georgia;Wyche Fowler
1992;Hawaii;Daniel Inouye
1992;Idaho;Steve Symms
1992;Illinois;Alan J. Dixon
1992;Indiana;Dan Coats
1992;Iowa;Chuck Grassley
1992;Kansas;Bob Dole
1992;Kentucky;Wendell Ford
1992;Louisiana;John Breaux
1992;Maryland;Barbara Mikulski
1992;Missouri;Kit Bond
1992;Nevada;Harry Reid
1992;New Hampshire;Warren Rudman
1992;North Carolina;Terry Sanford
1992;New York;Al D'Amato
1992;North Dakota;Kent Conrad
1992;Ohio;John Glenn
1992;Oklahoma;Don Nickles
1992;Oregon;Bob Packwood
1992;Pennsylvania;Arlen Specter
1992;South Carolina;Fritz Hollings
1992;South Dakota;Tom Daschle
1992;Utah;Jake Garn
1992;Vermont;Patrick Leahy
1992;Washington;Brock Adams
1992;Wisconsin;Bob Kasten
1994;Arizona;Dennis DeConcini
1994;California;Dianne Feinstein
1994;Connecticut;Joe Lieberman
1994;Delaware;William Roth
1994;Florida;Connie Mack III
1994;Hawaii;Daniel Akaka
1994;Indiana;Richard Lugar
1994;Maine;George J. Mitchell
1994;Maryland;Paul Sarbanes
1994;Massachusetts;Ted Kennedy
1994;Michigan;Donald W. Riegle Jr.
1994;Minnesota;David Durenberger
1994;Mississippi;Trent Lott
1994;Missouri;John Danforth
1994;Montana;Conrad Burns
1994;Nebraska;Bob Kerrey
1994;Nevada;Richard Bryan
1994;New Jersey;Frank Lautenberg
1994;New Mexico;Jeff Bingaman
1994;New York;Daniel Patrick Moynihan
1994;North Dakota;Kent Conrad
1994;Ohio;Howard Metzenbaum
1994;Pennsylvania;Harris Wofford
1994;Rhode Island;John Chafee
1994;Tennessee;Jim Sasser
1994;Texas;Kay Bailey Hutchison
1994;Utah;Orrin Hatch
1994;Vermont;Jim Jeffords
1994;Virginia;Chuck Robb
1994;Washington;Slade Gorton
1994;West Virginia;Robert Byrd
1994;Wisconsin;Herb Kohl
1994;Wyoming;Malcolm Wallop
1996;Alabama;Howell Heflin
1996;Alaska;Ted Stevens
1996;Arkansas;David Pryor
1996;Colorado;Hank Brown
1996;Delaware;Joe Biden
1996;Georgia;Sam Nunn
1996;Idaho;Larry Craig
1996;Illinois;Paul Simon
1996;Iowa;Tom Harkin
1996;Kansas;Nancy Kassebaum
1996;Kentucky;Mitch McConnell
1996;Louisiana;Bennett Johnston
1996;Maine;William Cohen
1996;Massachusetts;John Kerry
1996;Michigan;Carl Levin
1996;Minnesota;Paul Wellstone
1996;Mississippi;Thad Cochran
1996;Montana;Max Baucus
1996;Nebraska;Jim Exon
1996;New Hampshire;Bob Smith
1996;New Jersey;Bill Bradley
1996;New Mexico;Pete Domenici
1996;North Carolina;Jesse Helms
1996;Oklahoma;Jim Inhofe
1996;Oregon;Mark Hatfield
1996;Rhode Island;Claiborne Pell
1996;South Carolina;Strom Thurmond
1996;South Dakota;Larry Pressler
1996;Tennessee;Fred Thompson
1996;Texas;Phil Gramm
1996;Virginia;John Warner
1996;West Virginia;Jay Rockefeller
1996;Wyoming;Alan K. Simpson
