"","jpg","candidate","party","clarifai_gender","clarifai_race"
"125","edward_m_bernstein.jpg","Edward M. Bernstein","DEM","Masculine","Latino_Hispanic"
"126","elaine_marshall.jpg","Elaine Marshall","DEM","Feminine","White"
"127","elizabeth_dole.jpg","Elizabeth Dole","REP","Feminine","White"
"128","elizabeth_emken.jpg","Elizabeth Emken","REP","Feminine","White"
"129","elizabeth_warren.jpg","Elizabeth Warren","DEM","Feminine","White"
"130","eric_fingerhut.jpg","Eric Fingerhut","DEM","Masculine","White"
"131","eric_wargotz.jpg","Eric Wargotz","REP","Masculine","White"
"132","ernest_hollings.jpg","Ernest Hollings","DEM","Masculine","White"
"133","erskine_bowles.jpg","Erskine Bowles","DEM","Masculine","White"
"134","evan_bayh.jpg","Evan Bayh","DEM","Masculine","White"
"135","fay_boozman.jpg","Fay Boozman","REP","Masculine","White"
"136","foster_campbell.jpg","Foster Campbell","DEM","Masculine","White"
"137","frank_lautenberg.jpg","Frank Lautenberg","DEM","Masculine","Middle Eastern"
"138","gary_peters.jpg","Gary Peters","DEM","Masculine","White"
"139","gene_kelly.jpg","Gene Kelly","DEM","Masculine","White"
"140","geoff_diehl.jpg","Geoff Diehl","REP","Masculine","White"
"141","george_allen.jpg","George Allen","REP","Masculine","White"
"142","george_nethercutt.jpg","George Nethercutt","REP","Masculine","White"
"143","george_voinovich.jpg","George Voinovich","REP","Masculine","White"
"144","gloria_tristani.jpg","Gloria Tristani","DEM","Feminine","White"
"145","gordon_ball.jpg","Gordon Ball","DEM","Masculine","White"
"146","gordon_h_smith.jpg","Gordon H. Smith","REP","Masculine","Middle Eastern"
"147","greg_ganske.jpg","Greg Ganske","REP","Masculine","White"
"148","harold_ford_jr.jpg","Harold Ford Jr.","DEM","Masculine","White"
"149","harry_reid.jpg","Harry Reid","DEM","Masculine","White"
"150","heather_wilson.jpg","Heather Wilson","REP","Feminine","White"
"151","heidi_heitkamp.jpg","Heidi Heitkamp","DEM","Feminine","White"
"152","herb_kohl.jpg","Herb Kohl","DEM","Masculine","White"
"153","hillary_clinton.jpg","Hillary Clinton","DEM","Feminine","White"
"154","howard_mills_III.jpg","Howard Mills III","REP","Masculine","White"
"155","inez_tenenbaum.jpg","Inez Tenenbaum","DEM","Feminine","White"
"156","jack_carter.jpg","Jack Carter","DEM","Feminine","White"
"157","jack_conway.jpg","Jack Conway","DEM","Masculine","White"
"158","jack_e_robinson.jpg","Jack E. Robinson III","REP","Masculine","Black"
"159","jack_hoogendyk.jpg","Jack Hoogendyk","REP","Masculine","White"
"160","jack_orchulli.jpg","Jack Orchulli","REP","Masculine","White"
"161","jack_reed.jpg","Jack Reed","DEM","Masculine","White"
