state_long,party,name,first_name,rest_name,election_year
New Mexico,rep_candidate,Steve Pearce,Steve,Pearce,2008
North Carolina,dem_candidate,Kay Hagan,Kay,Hagan,2008
North Carolina,rep_candidate,Elizabeth Dole,Elizabeth,Dole,2008
Oklahoma,dem_candidate,Andrew Rice,Andrew,Rice,2008
Oklahoma,rep_candidate,Jim Inhofe,Jim,Inhofe,2008
Oregon,dem_candidate,Jeff Merkley,Jeff,Merkley,2008
Oregon,rep_candidate,Gordon H. Smith,Gordon,Smith,2008
Rhode Island,dem_candidate,Jack Reed,Jack,Reed,2008
Rhode Island,rep_candidate,Robert Tingle,Robert,Tingle,2008
South Carolina,dem_candidate,Bob Conley,Bob,Conley,2008
South Carolina,rep_candidate,Lindsey Graham,Lindsey,Graham,2008
South Dakota,dem_candidate,Tim Johnson,Tim,Johnson,2008
South Dakota,rep_candidate,Joel Dykstra,Joel,Dykstra,2008
Tennessee,dem_candidate,Bob Tuke,Bob,Tuke,2008
Tennessee,rep_candidate,Lamar Alexander,Lamar,Alexander,2008
Texas,dem_candidate,Rick Noriega,Rick,Noriega,2008
Texas,rep_candidate,John Cornyn,John,Cornyn,2008
Virginia,dem_candidate,Mark Warner,Mark,Warner,2008
Virginia,rep_candidate,Jim Gilmore,Jim,Gilmore,2008
West Virginia,dem_candidate,Jay Rockefeller,Jay,Rockefeller,2008
West Virginia,rep_candidate,Jay Wolfe,Jay,Wolfe,2008
Wyoming,dem_candidate,Chris Rothfuss,Chris,Rothfuss,2008
Wyoming,rep_candidate,Mike Enzi,Mike,Enzi,2008
Alabama,dem_candidate,William G. Barnes,William,Barnes,2010
Alabama,rep_candidate,Richard Shelby,Richard,Shelby,2010
Arizona,dem_candidate,Rodney Glassman,Rodney,Glassman,2010
Arizona,rep_candidate,John McCain,John,McCain,2010
Arkansas,dem_candidate,Blanche Lincoln,Blanche,Lincoln,2010
Arkansas,rep_candidate,John Boozman,John,Boozman,2010
California,dem_candidate,Barbara Boxer,Barbara,Boxer,2010
California,rep_candidate,Carly Fiorina,Carly,Fiorina,2010
Colorado,dem_candidate,Michael Bennet,Michael,Bennet,2010
Colorado,rep_candidate,Ken Buck,Ken,Buck,2010
Connecticut,dem_candidate,Richard Blumenthal,Richard,Blumenthal,2010
Connecticut,rep_candidate,Linda McMahon,Linda,McMahon,2010
Florida,dem_candidate,Kendrick Meek,Kendrick,Meek,2010
Florida,rep_candidate,Marco Rubio,Marco,Rubio,2010
Georgia,dem_candidate,Michael Thurmond,Michael,Thurmond,2010
Georgia,rep_candidate,Johnny Isakson,Johnny,Isakson,2010
Hawaii,dem_candidate,Daniel Inouye,Daniel,Inouye,2010
Hawaii,rep_candidate,Campbell Cavasso,Campbell,Cavasso,2010
Idaho,dem_candidate,Tom Sullivan,Tom,Sullivan,2010
Idaho,rep_candidate,Mike Crapo,Mike,Crapo,2010
Illinois,dem_candidate,Alexi Giannoulias,Alexi,Giannoulias,2010
Illinois,rep_candidate,Mark Kirk,Mark,Kirk,2010
Indiana,dem_candidate,Brad Ellsworth,Brad,Ellsworth,2010
Indiana,rep_candidate,Dan Coats,Dan,Coats,2010
Iowa,dem_candidate,Roxanne Conlin,Roxanne,Conlin,2010
Iowa,rep_candidate,Chuck Grassley,Chuck,Grassley,2010
Kansas,dem_candidate,Lisa Johnston,Lisa,Johnston,2010
Kansas,rep_candidate,Jerry Moran,Jerry,Moran,2010
Kentucky,dem_candidate,Jack Conway,Jack,Conway,2010
Kentucky,rep_candidate,Rand Paul,Rand,Paul,2010
Louisiana,dem_candidate,Charles Melancon,Charles,Melancon,2010
Louisiana,rep_candidate,David Vitter,David,Vitter,2010
Maryland,dem_candidate,Barbara Mikulski,Barbara,Mikulski,2010
Maryland,rep_candidate,Eric Wargotz,Eric,Wargotz,2010
Missouri,dem_candidate,Robin Carnahan,Robin,Carnahan,2010
Missouri,rep_candidate,Roy Blunt,Roy,Blunt,2010
Nevada,dem_candidate,Harry Reid,Harry,Reid,2010
Nevada,rep_candidate,Sharron Angle,Sharron,Angle,2010
New Hampshire,dem_candidate,Paul Hodes,Paul,Hodes,2010
New Hampshire,rep_candidate,Kelly Ayotte,Kelly,Ayotte,2010
New York,dem_candidate,Chuck Schumer,Chuck,Schumer,2010
New York,rep_candidate,Jay Townsend,Jay,Townsend,2010
North Carolina,dem_candidate,Elaine Marshall,Elaine,Marshall,2010
North Carolina,rep_candidate,Richard Burr,Richard,Burr,2010
North Dakota,dem_candidate,Tracy Potter,Tracy,Potter,2010
North Dakota,rep_candidate,John Hoeven,John,Hoeven,2010
Ohio,dem_candidate,Lee Fisher,Lee,Fisher,2010
Ohio,rep_candidate,Rob Portman,Rob,Portman,2010
Oklahoma,dem_candidate,Jim Rogers,Jim,Rogers,2010
Oklahoma,rep_candidate,Tom Coburn,Tom,Coburn,2010
Oregon,dem_candidate,Ron Wyden,Ron,Wyden,2010
Oregon,rep_candidate,Jim Huffman,Jim,Huffman,2010
Pennsylvania,dem_candidate,Joe Sestak,Joe,Sestak,2010
Pennsylvania,rep_candidate,Pat Toomey,Pat,Toomey,2010
South Carolina,dem_candidate,Alvin Greene,Alvin,Greene,2010
South Carolina,rep_candidate,Jim DeMint,Jim,DeMint,2010
South Dakota,rep_candidate,John Thune,John,Thune,2010
Utah,dem_candidate,Sam Granato,Sam,Granato,2010
Utah,rep_candidate,Mike Lee,Mike,Lee,2010
Vermont,dem_candidate,Patrick Leahy,Patrick,Leahy,2010
Vermont,rep_candidate,Len Britton,Len,Britton,2010
Washington,dem_candidate,Patty Murray,Patty,Murray,2010
Washington,rep_candidate,Dino Rossi,Dino,Rossi,2010
Wisconsin,dem_candidate,Russ Feingold,Russ,Feingold,2010
Wisconsin,rep_candidate,Ron Johnson,Ron,Johnson,2010
Arizona,dem_candidate,Richard Carmona,Richard,Carmona,2012
Arizona,rep_candidate,Jeff Flake,Jeff,Flake,2012
California,dem_candidate,Dianne Feinstein,Dianne,Feinstein,2012
California,rep_candidate,Elizabeth Emken,Elizabeth,Emken,2012
Connecticut,dem_candidate,Chris Murphy,Chris,Murphy,2012
Connecticut,rep_candidate,Linda McMahon,Linda,McMahon,2012
Delaware,dem_candidate,Tom Carper,Tom,Carper,2012
Delaware,rep_candidate,Kevin Wade,Kevin,Wade,2012
Florida,dem_candidate,Bill Nelson,Bill,Nelson,2012
Florida,rep_candidate,Connie Mack IV,Connie,IV,2012
Hawaii,dem_candidate,Mazie Hirono,Mazie,Hirono,2012
Hawaii,rep_candidate,Linda Lingle,Linda,Lingle,2012
Indiana,dem_candidate,Joe Donnelly,Joe,Donnelly,2012
Indiana,rep_candidate,Richard Mourdock,Richard,Mourdock,2012
Maine,dem_candidate,Cynthia Dill,Cynthia,Dill,2012
Maine,rep_candidate,"Charles E. Summers, Jr.",Charles,Summers,2012
Maryland,dem_candidate,Ben Cardin,Ben,Cardin,2012
Maryland,rep_candidate,Dan Bongino,Dan,Bongino,2012
Massachusetts,dem_candidate,Elizabeth Warren,Elizabeth,Warren,2012
Massachusetts,rep_candidate,Scott Brown,Scott,Brown,2012
Michigan,dem_candidate,Debbie Stabenow,Debbie,Stabenow,2012
Michigan,rep_candidate,Pete Hoekstra,Pete,Hoekstra,2012
Minnesota,dem_candidate,Amy Klobuchar,Amy,Klobuchar,2012
Minnesota,rep_candidate,Kurt Bills,Kurt,Bills,2012
Mississippi,dem_candidate,"Albert N. Gore, Jr.",Albert,Gore,2012
Mississippi,rep_candidate,Roger Wicker,Roger,Wicker,2012
Missouri,dem_candidate,Claire McCaskill,Claire,McCaskill,2012
Missouri,rep_candidate,Todd Akin,Todd,Akin,2012
Montana,dem_candidate,Jon Tester,Jon,Tester,2012
Montana,rep_candidate,Denny Rehberg,Denny,Rehberg,2012
Nebraska,dem_candidate,Bob Kerrey,Bob,Kerrey,2012
Nebraska,rep_candidate,Deb Fischer,Deb,Fischer,2012
Nevada,dem_candidate,Shelley Berkley,Shelley,Berkley,2012
Nevada,rep_candidate,Dean Heller,Dean,Heller,2012
New Jersey,dem_candidate,Bob Menendez,Bob,Menendez,2012
New Jersey,rep_candidate,Joe Kyrillos,Joe,Kyrillos,2012
New Mexico,dem_candidate,Martin Heinrich,Martin,Heinrich,2012
New Mexico,rep_candidate,Heather Wilson,Heather,Wilson,2012
New York,dem_candidate,Kirsten Gillibrand,Kirsten,Gillibrand,2012
New York,rep_candidate,Wendy E. Long,Wendy,Long,2012
North Dakota,dem_candidate,Heidi Heitkamp,Heidi,Heitkamp,2012
North Dakota,rep_candidate,Rick Berg,Rick,Berg,2012
Ohio,dem_candidate,Sherrod Brown,Sherrod,Brown,2012
Ohio,rep_candidate,Josh Mandel,Josh,Mandel,2012
Pennsylvania,dem_candidate,Bob Casey Jr.,Bob,Casey,2012
Pennsylvania,rep_candidate,Tom Smith,Tom,Smith,2012
Rhode Island,dem_candidate,Sheldon Whitehouse,Sheldon,Whitehouse,2012
Rhode Island,rep_candidate,Barry Hinckley,Barry,Hinckley,2012
Tennessee,dem_candidate,Mark Clayton,Mark,Clayton,2012
Tennessee,rep_candidate,Bob Corker,Bob,Corker,2012
Texas,dem_candidate,Paul Sadler,Paul,Sadler,2012
Texas,rep_candidate,Ted Cruz,Ted,Cruz,2012
Utah,dem_candidate,Scott Howell,Scott,Howell,2012
Utah,rep_candidate,Orrin Hatch,Orrin,Hatch,2012
Vermont,rep_candidate,John MacGovern,John,MacGovern,2012
Virginia,dem_candidate,Tim Kaine,Tim,Kaine,2012
Virginia,rep_candidate,George Allen,George,Allen,2012
Washington,dem_candidate,Maria Cantwell,Maria,Cantwell,2012
Washington,rep_candidate,Michael Baumgartner,Michael,Baumgartner,2012
West Virginia,dem_candidate,Joe Manchin,Joe,Manchin,2012
West Virginia,rep_candidate,John Raese,John,Raese,2012
Wisconsin,dem_candidate,Tammy Baldwin,Tammy,Baldwin,2012
Wisconsin,rep_candidate,Tommy Thompson,Tommy,Thompson,2012
Wyoming,dem_candidate,Tim Chesnut,Tim,Chesnut,2012
Wyoming,rep_candidate,John Barrasso,John,Barrasso,2012
Alabama,rep_candidate,Jeff Sessions,Jeff,Sessions,2014
Alaska,dem_candidate,Mark Begich,Mark,Begich,2014
Alaska,rep_candidate,Dan Sullivan,Dan,Sullivan,2014
Arkansas,dem_candidate,Mark Pryor,Mark,Pryor,2014
Arkansas,rep_candidate,Tom Cotton,Tom,Cotton,2014
Colorado,dem_candidate,Mark Udall,Mark,Udall,2014
Colorado,rep_candidate,Cory Gardner,Cory,Gardner,2014
Delaware,dem_candidate,Chris Coons,Chris,Coons,2014
Delaware,rep_candidate,Kevin Wade,Kevin,Wade,2014
Georgia,dem_candidate,Michelle Nunn,Michelle,Nunn,2014
Georgia,rep_candidate,David Perdue,David,Perdue,2014
Idaho,dem_candidate,Nels Mitchell,Nels,Mitchell,2014
Idaho,rep_candidate,Jim Risch,Jim,Risch,2014
Illinois,dem_candidate,Dick Durbin,Dick,Durbin,2014
Illinois,rep_candidate,Jim Oberweis,Jim,Oberweis,2014
Iowa,dem_candidate,Bruce Braley,Bruce,Braley,2014
Iowa,rep_candidate,Joni Ernst,Joni,Ernst,2014
Kansas,rep_candidate,Pat Roberts,Pat,Roberts,2014
Kentucky,dem_candidate,Alison Lundergan Grimes,Alison,Grimes,2014
Kentucky,rep_candidate,Mitch McConnell,Mitch,McConnell,2014
Louisiana,dem_candidate,Mary Landrieu,Mary,Landrieu,2014
Louisiana,rep_candidate,Bill Cassidy,Bill,Cassidy,2014
Maine,dem_candidate,Shenna Bellows,Shenna,Bellows,2014
Maine,rep_candidate,Susan Collins,Susan,Collins,2014
Massachusetts,dem_candidate,Ed Markey,Ed,Markey,2014
Massachusetts,rep_candidate,Brian Herr,Brian,Herr,2014
Michigan,dem_candidate,Gary Peters,Gary,Peters,2014
Michigan,rep_candidate,Terri Lynn Land,Terri,Land,2014
Minnesota,dem_candidate,Al Franken,Al,Franken,2014
Minnesota,rep_candidate,Mike McFadden,Mike,McFadden,2014
Mississippi,dem_candidate,Travis Childers,Travis,Childers,2014
Mississippi,rep_candidate,Thad Cochran,Thad,Cochran,2014
Montana,dem_candidate,Amanda Curtis,Amanda,Curtis,2014
Montana,rep_candidate,Steve Daines,Steve,Daines,2014
Nebraska,dem_candidate,David Domina,David,Domina,2014
Nebraska,rep_candidate,Ben Sasse,Ben,Sasse,2014
New Hampshire,dem_candidate,Jeanne Shaheen,Jeanne,Shaheen,2014
New Hampshire,rep_candidate,Scott Brown,Scott,Brown,2014
New Jersey,dem_candidate,Cory Booker,Cory,Booker,2014
New Jersey,rep_candidate,Jeff Bell,Jeff,Bell,2014
New Mexico,dem_candidate,Tom Udall,Tom,Udall,2014
New Mexico,rep_candidate,Allen Weh,Allen,Weh,2014
North Carolina,dem_candidate,Kay Hagan,Kay,Hagan,2014
North Carolina,rep_candidate,Thom Tillis,Thom,Tillis,2014
Oklahoma,dem_candidate,Matt Silverstein,Matt,Silverstein,2014
Oklahoma,rep_candidate,Jim Inhofe,Jim,Inhofe,2014
Oregon,dem_candidate,Jeff Merkley,Jeff,Merkley,2014
Oregon,rep_candidate,Monica Wehby,Monica,Wehby,2014
Rhode Island,dem_candidate,Jack Reed,Jack,Reed,2014
Rhode Island,rep_candidate,Mark Zaccaria,Mark,Zaccaria,2014
South Carolina,dem_candidate,Brad Hutto,Brad,Hutto,2014
South Carolina,rep_candidate,Lindsey Graham,Lindsey,Graham,2014
